Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume,Ticker,Daily_Return
2017-12-19T00:00:00Z,1083.02,1084.97,1072.27,1079.78,1287930,0,1,1083.02,1084.97,1072.27,1079.78,1287930,GOOGL,0.005793808
2017-12-18T00:00:00Z,1076.45,1086.49,1070.37,1085.09,1482768,0,1,1076.45,1086.49,1070.37,1085.09,1482768,GOOGL,0.004917668
2017-12-15T00:00:00Z,1063.78,1075.25,1060.09,1072,3080738,0,1,1063.78,1075.25,1060.09,1072,3080738,GOOGL,-0.012063515
2017-12-14T00:00:00Z,1055.49,1067.08,1053.6,1057.47,1531504,0,1,1055.49,1067.08,1053.6,1057.47,1531504,GOOGL,-0.013554104
2017-12-13T00:00:00Z,1052.08,1055.48,1046.58,1051.39,1369580,0,1,1052.08,1055.48,1046.58,1051.39,1369580,GOOGL,-0.005749572
2017-12-12T00:00:00Z,1050,1062.5,1044.87,1048.77,1684977,0,1,1050,1062.5,1044.87,1048.77,1684977,GOOGL,-0.002491939
2017-12-11T00:00:00Z,1051.11,1056,1044.12,1051.97,1096997,0,1,1051.11,1056,1044.12,1051.97,1096997,GOOGL,0.003051193
2017-12-08T00:00:00Z,1051.81,1056.42,1045.86,1049.38,1479665,0,1,1051.81,1056.42,1045.86,1049.38,1479665,GOOGL,-0.002462047
2017-12-07T00:00:00Z,1036.07,1048.92,1035.36,1044.57,1437448,0,1,1036.07,1048.92,1035.36,1044.57,1437448,GOOGL,-0.004583659
2017-12-06T00:00:00Z,1016.52,1039.58,1015.31,1032.72,1369276,0,1,1016.52,1039.58,1015.31,1032.72,1369276,GOOGL,-0.011344381
2017-12-05T00:00:00Z,1010.99,1036.68,1002.32,1019.6,1927802,0,1,1010.99,1036.68,1002.32,1019.6,1927802,GOOGL,-0.012704315
2017-12-04T00:00:00Z,1027.8,1031.34,1009.22,1011.87,1896325,0,1,1027.8,1031.34,1009.22,1011.87,1896325,GOOGL,-0.007581404
2017-12-01T00:00:00Z,1030.41,1037.24,1016.9,1025.07,1850541,0,1,1030.41,1037.24,1016.9,1025.07,1850541,GOOGL,0.013045154
2017-11-30T00:00:00Z,1039.94,1044.14,1030.07,1036.17,2190379,0,1,1039.94,1044.14,1030.07,1036.17,2190379,GOOGL,0.010828529
2017-11-29T00:00:00Z,1056.18,1058.77,1029.65,1037.38,2737664,0,1,1056.18,1058.77,1029.65,1037.38,2737664,GOOGL,0.001167762
2017-11-28T00:00:00Z,1073.99,1080,1054.54,1063.29,1694098,0,1,1073.99,1080,1054.54,1063.29,1694098,GOOGL,0.024976383
2017-11-27T00:00:00Z,1058.57,1073.04,1054.77,1072.01,1708195,0,1,1058.57,1073.04,1054.77,1072.01,1708195,GOOGL,0.008200961
2017-11-24T00:00:00Z,1054.39,1060.07,1051.92,1056.52,825342,0,1,1054.39,1060.07,1051.92,1056.52,825342,GOOGL,-0.014449492
2017-11-22T00:00:00Z,1051.16,1055.43,1047.25,1051.92,721498,0,1,1051.16,1055.43,1047.25,1051.92,721498,GOOGL,-0.004353917
2017-11-21T00:00:00Z,1040.04,1050.39,1039.14,1050.3,1075568,0,1,1040.04,1050.39,1039.14,1050.3,1075568,GOOGL,-0.001540041
2017-11-20T00:00:00Z,1036,1038.7,1032.68,1034.66,850423,0,1,1036,1038.7,1032.68,1034.66,850423,GOOGL,-0.014890984
2017-11-17T00:00:00Z,1049.8,1051,1033.73,1035.89,1286044,0,1,1049.8,1051,1033.73,1035.89,1286044,GOOGL,0.001188796
2017-11-16T00:00:00Z,1038.75,1051.76,1038,1048.47,1125995,0,1,1038.75,1051.76,1038,1048.47,1125995,GOOGL,0.012144147
2017-11-15T00:00:00Z,1035,1039.63,1030.76,1036.41,900695,0,1,1035,1039.63,1030.76,1036.41,900695,GOOGL,-0.011502475
2017-11-14T00:00:00Z,1037.72,1042.3,1029.33,1041.64,982782,0,1,1037.72,1042.3,1029.33,1041.64,982782,GOOGL,0.005046265
2017-11-13T00:00:00Z,1040.8,1048.74,1039.26,1041.2,914852,0,1,1040.8,1048.74,1039.26,1041.2,914852,GOOGL,-0.000422411
2017-11-10T00:00:00Z,1043.87,1046.63,1041.22,1044.15,955500,0,1,1043.87,1046.63,1041.22,1044.15,955500,GOOGL,0.002833269
